Summary,Legend,Protection,Sale,Place,Price,Seller,MSales,Comments
2012新款超薄AK09手表式手机摄像拍照QQ男/女款MP3学生儿童腕表,"消费者保障	七天退换",七天退换,"月售3笔	26条评价",广东 深圳货到付款,235.00        运费：12.00           信用卡,乐之道365,3,26
Lenovo/联想 A780手机 双卡双待 可ROOT 时尚超薄 1GCPU 4.0屏,"消费者保障	七天退换	正品保障",七天退换,"月售11笔	11条评价",广东 深圳,748.02        运费：0.00           信用卡,中移普泰数码专营店,11,11
国产M1s小米m11超薄安卓半智能4.0大屏双卡非山寨男女款情侣手机,"消费者保障	七天退换",七天退换,"月售6笔	17条评价",广东 深圳货到付款,206.80        运费：10.00           信用卡折扣,林盛锋商城,6,17
【包邮】Philips/飞利浦 W820 3G 安卓2.3  超长待机手机正品行货,"消费者保障	七天退换",七天退换,"月售2笔	5条评价",广东 深圳,806.00        运费：0.00           信用卡,kuschduan,2,5
Lenovo/联想 S200 可爱时尚五彩翻盖手机 女生最爱  QQ 正品联保,"消费者保障	七天退换",七天退换,"月售4笔	2条评价",广东 深圳货到付款,297.00        运费：8.00           信用卡,迪优美数码,4,2
国产M1小米m11超薄4.0大屏半智能安卓界面男女士非山寨全触屏手机,消费者保障,无七天退换,,广东 深圳,265.00        运费：0.00           信用卡,轩宇购物网,0,0
现货特价ZTE/中兴 U805 安卓2.3 移动定制3G智能手机 电容屏,"消费者保障	七天退换",七天退换,月售7笔,广东 深圳货到付款,258.01        运费：10.00,中港国际数码,7,0
Konka/康佳W900智能3G手机 安卓4.0系统 正品行货,"消费者保障	七天退换",七天退换,月售1笔,广东 深圳货到付款,890.01        运费：0.00           信用卡,spartacus_ven,1,0
BBK/步步高 i289c直板音乐手机正品行货,消费者保障,无七天退换,月售1笔,广东 深圳,240.00        运费：0.00,海龙王数码城,1,0
正品天时达A101老人手机免费电视超长待机大字体大音量SOS老人机,"消费者保障	七天退换",七天退换,"月售8笔	4条评价",广东 深圳货到付款,120.00        运费：12.00           信用卡,深圳小戴888,8,4
8月最新N9手机 双卡双待/国产非山寨高仿/半智能安卓触屏十二系统,"消费者保障	七天退换",七天退换,"月售52笔	13条评价",广东 深圳,90.00        运费：12.00,酷呀数码,52,13
正品 Samsung/三星 S6700c 300万像素 滑盖音乐手机,"消费者保障	七天退换",七天退换,"月售3笔	4条评价",广东 深圳,300.00        运费：15.00           信用卡,jia家乐520,3,4
Nokia/诺基亚 E71 正品联保行货 WIFI 3G智能手机 打折包邮顺丰,"消费者保障	七天退换",七天退换,"月售15笔	17条评价",广东 深圳货到付款,600.00        运费：0.00           信用卡,青青通讯营,15,17
Disney 迪士尼 X51 双卡双待 学生手机 儿童手机 直板卡通首选,"消费者保障	假一赔三	七天退换    品牌授权",七天退换,,北京,396.00        运费：10.00,沙湖印象,0,0
